FID IID PC1 PC2
AtRegMap 116 -104.35573998810244 -38.78131840275789
AtRegMap 242 -88.88308614978604 -38.148562004554186
AtRegMap 282 -46.821655315448254 -60.876915321337215
AtRegMap 96 -2.5810372825273236 -46.61103501798718
AtRegMap 23 -98.50931476797128 -47.57417652133303
AtRegMap 8304 20.44712304339647 12.313638816666518
AtRegMap 6100 53.00908913032898 9.065039086816816
AtRegMap 6194 30.78117773083949 45.5642182772491
AtRegMap 8274 -4.417839296775297 -1.4758268558591336
AtRegMap 366 -60.381171841986216 -39.036408557664956
AtRegMap 5245 -32.88683922831124 55.900189844119886
AtRegMap 5264 -108.30487142615729 -55.27524518576709
AtRegMap 1925 18.294275210953053 55.64591522688688
AtRegMap 6413 60.35069819931549 4.667541460536263
AtRegMap 6020 54.118085763896055 -3.775173377954286
AtRegMap 8307 24.7879763294831 84.35856991616343
AtRegMap 6959 -84.87351023296127 -17.421077904197656
AtRegMap 7525 -110.99247803643982 12.912787670803944
AtRegMap 6961 -31.951902739483156 -34.92315039966628
AtRegMap 6967 -47.60371994968813 36.69202299967284
AtRegMap 6973 6.219969247081399 91.44839310164053
AtRegMap 6976 95.3263681770771 -54.92665935110493
AtRegMap 6979 14.095738643661742 -40.395593853997205
AtRegMap 6980 100.93764428259271 -36.195622910538006
AtRegMap 6982 -4.781703623641215 45.51509986246602
AtRegMap 6983 -65.95021633190294 124.04701954720794
AtRegMap 6985 134.8230450919608 -58.99002163792637
AtRegMap 7523 -37.00977416373179 91.93195201514958
AtRegMap 6899 69.14554915513096 -30.270867737656843
AtRegMap 6903 152.6675704954379 -68.3461161241607
AtRegMap 6904 -22.498411442340682 -58.315446307759714
AtRegMap 6905 -23.904605928272645 51.48365818387645
AtRegMap 6906 -14.222520603623389 -38.333741637236955
AtRegMap 6909 37.461532274492335 115.24467849967178
AtRegMap 6911 29.407400152132947 -0.442333157844132
AtRegMap 6916 59.17662005238757 43.117603137790724
AtRegMap 8215 -114.19529903484667 -58.97469860065135
AtRegMap 6921 -23.09421292557976 82.15567210439686
AtRegMap 6932 98.60351218265028 4.425037758422419
AtRegMap 6944 -134.0287094435145 -66.15567008857573
AtRegMap 7515 -88.59950969087927 142.3680203078485
AtRegMap 7514 -15.085948094950808 -10.409278466749319
AtRegMap 6962 95.514760523268 12.242618642734234
AtRegMap 6968 46.346048083250906 35.368048282442
AtRegMap 6970 -30.953286537037464 -50.16642008439796
AtRegMap 6977 -74.1768188674412 -33.819471296051724
AtRegMap 8329 -87.7406402070554 -35.25799095684429
AtRegMap 7379 31.665023796901206 -45.202533315318405
AtRegMap 7080 -28.93070101303158 -2.4820540938905835
AtRegMap 6744 -54.856344719944516 50.19851402533642
AtRegMap 7098 -22.839844104816514 -41.1941508832246
AtRegMap 7158 65.00155416252048 -34.01201255352583
AtRegMap 7163 5.097785753122174 16.578345013655706
AtRegMap 7165 6.833775131444697 106.35509466439262
AtRegMap 7340 111.0155270343834 -54.82847249684965
AtRegMap 7372 43.89476917980202 -41.85853777973244
AtRegMap 7394 113.6740286906932 -1.2354623942127405
AtRegMap 7397 76.51870726392559 51.46991851353797
AtRegMap 281 -48.18158468111186 -59.88549267260972
AtRegMap 7139 14.85540776013422 70.489737191857
AtRegMap 7307 -76.52151313336509 -8.669746044467226
AtRegMap 7331 26.41714105460427 61.578094799152474
AtRegMap 7337 17.023813676763766 70.4691497973272
AtRegMap 7378 14.137152367172188 -39.21862232145666
AtRegMap 7405 42.23687829900626 76.41200375364461
